127.0.0.1 - - [10/May/2020:16:15:33 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/May/2020:16:15:34 +0700] "GET /MyBatis_MySQL/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2020:16:15:35 +0700] "GET /MyBatis_MySQL/login HTTP/1.1" 200 1902
0:0:0:0:0:0:0:1 - - [10/May/2020:16:15:35 +0700] "GET /MyBatis_MySQL/resources/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2020:16:15:35 +0700] "GET /MyBatis_MySQL/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2020:16:15:35 +0700] "GET /MyBatis_MySQL/resources/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2020:16:15:35 +0700] "GET /favicon.ico HTTP/1.1" 404 1007
0:0:0:0:0:0:0:1 - - [10/May/2020:16:15:40 +0700] "POST /MyBatis_MySQL/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2020:16:15:40 +0700] "GET /MyBatis_MySQL/students;jsessionid=03871E381797E22A669890E5B70D7C11 HTTP/1.1" 200 7496
0:0:0:0:0:0:0:1 - - [10/May/2020:16:15:45 +0700] "GET /MyBatis_MySQL/sort/STUDENT_NAME HTTP/1.1" 200 7492
0:0:0:0:0:0:0:1 - - [10/May/2020:16:15:46 +0700] "GET /MyBatis_MySQL/sort/STUDENT_CODE HTTP/1.1" 200 7496
0:0:0:0:0:0:0:1 - - [10/May/2020:16:15:47 +0700] "GET /MyBatis_MySQL/sort/ADDRESS HTTP/1.1" 200 7488
0:0:0:0:0:0:0:1 - - [10/May/2020:16:15:47 +0700] "GET /MyBatis_MySQL/sort/AVERAGE_SCORE HTTP/1.1" 200 7502
0:0:0:0:0:0:0:1 - - [10/May/2020:16:15:48 +0700] "GET /MyBatis_MySQL/sort/DATE_OF_BIRTH HTTP/1.1" 200 7499
0:0:0:0:0:0:0:1 - - [10/May/2020:16:15:50 +0700] "GET /MyBatis_MySQL/sort/STUDENT_CODE HTTP/1.1" 200 7496
